time,playerName, xPos , yPos, zPos, xCamRot, yCamRot, score, PatchSelection,playerName, xPos , yPos, zPos, xCamRot, yCamRot, score, PatchSelection,playerName, xPos , yPos, zPos, xCamRot, yCamRot, score, PatchSelection,playerName, xPos , yPos, zPos, xCamRot, yCamRot, score, PatchSelection,playerName, xPos , yPos, zPos, xCamRot, yCamRot, score, PatchSelection,playerName, xPos , yPos, zPos, xCamRot, yCamRot, score, PatchSelection,playerName, xPos , yPos, zPos, xCamRot, yCamRot, score, PatchSelection,
1,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, ,380,2.5,377.5,0,270,0, No Selection, 
2,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
3,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
4,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
5,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
6,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
7,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
8,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
9,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
10,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
11,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
12,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
13,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
14,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
15,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
16,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
17,Francisco,385,1.1,372.5,0,270,0, No Selection, ozmar,380,1.1,372.5,0,270,0, No Selection, Daniel,375,1.1,372.5,0,270,0, No Selection, JoseCuellar,370,1.1,372.5,0,270,0, No Selection, Jose Angel Ruiz Garcia,365,1.1,372.5,0,270,0, No Selection, alan,385,1.1,377.5,0,270,0, No Selection, damselfly,380,1.1,377.5,0,270,0, No Selection, 
